Cross 1,Cross 2,Cross 3,Cross 4,Cross 5,Cross 6,City_Average_Traffic,Time,Hour,Peak,Congestion_Index,Congestion_Level
105,48,30,62,31,110,64.33333333,01-01-2024 00:00,0,0,1.062279543,Medium
97,41,32,55,42,103,61.66666667,01-01-2024 00:05,0,0,1.018247231,Medium
76,47,44,58,40,100,60.83333333,01-01-2024 00:10,0,0,1.004487133,Medium
98,40,39,59,43,104,63.83333333,01-01-2024 00:15,0,0,1.054023485,Medium
87,41,47,49,35,112,61.83333333,01-01-2024 00:20,0,0,1.02099925,Medium
80,40,35,63,34,89,56.83333333,01-01-2024 00:25,0,0,0.938438664,Low
92,46,39,58,26,98,59.83333333,01-01-2024 00:30,0,0,0.987975016,Low
80,31,21,45,29,93,49.83333333,01-01-2024 00:35,0,0,0.822853843,Low
91,55,35,46,26,89,57,01-01-2024 00:40,0,0,0.941190684,Low
75,42,26,77,32,48,50,01-01-2024 00:45,0,0,0.825605863,Low
48,24,15,38,19,61,34.16666667,01-01-2024 00:50,0,0,0.564164006,Low
61,31,17,33,16,54,35.33333333,01-01-2024 00:55,0,0,0.583428143,Low
60,32,23,53,19,64,41.83333333,01-01-2024 01:00,1,0,0.690756905,Low
59,25,22,28,21,60,35.83333333,01-01-2024 01:05,1,0,0.591684202,Low
42,10,14,27,17,42,25.33333333,01-01-2024 01:10,1,0,0.41830697,Low
55,24,24,31,16,47,32.83333333,01-01-2024 01:15,1,0,0.54214785,Low
38,15,26,32,23,61,32.5,01-01-2024 01:20,1,0,0.536643811,Low
42,26,18,29,25,55,32.5,01-01-2024 01:25,1,0,0.536643811,Low
47,27,15,47,14,48,33,01-01-2024 01:30,1,0,0.544899869,Low
36,15,16,30,18,43,26.33333333,01-01-2024 01:35,1,0,0.434819088,Low
37,14,11,28,10,33,22.16666667,01-01-2024 01:40,1,0,0.366018599,Low
34,18,6,20,12,48,23,01-01-2024 01:45,1,0,0.379778697,Low
27,16,14,23,12,37,21.5,01-01-2024 01:50,1,0,0.355010521,Low
